 wavelength   modelled flux   observed flux
   635.752991       2.58577452E-03   5.75178536E-03
   635.440735       3.28254164E-03   5.13599068E-03
   635.128784       3.72560346E-03   5.05737867E-03
   634.817139       3.86186899E-03   4.92635835E-03
   634.505798       3.44772171E-03   4.16644150E-03
   634.194763       3.07477941E-03   4.36297152E-03
   633.884033       3.15125729E-03   4.10093134E-03
   633.573608       2.76898756E-03   3.94370733E-03
   633.263489       2.20508152E-03   3.98355443E-03
   632.953674       2.79937056E-03   3.65546276E-03
   632.644165       2.89855059E-03   3.30170826E-03
   632.334961       2.53233011E-03   3.05276993E-03
   632.026062       2.10083299E-03   3.06587201E-03
   631.717468       1.68353855E-03   2.84313783E-03
   631.409119       1.26657425E-03   2.42387317E-03
   631.101135       8.50105251E-04   2.42387317E-03
   630.793457       4.34048881E-04   2.35836301E-03
   630.486023       1.83226584E-05   2.37146509E-03
   630.178894       4.32383706E-04   1.99150667E-03
   629.872131       8.84184323E-04   1.76877237E-03
   629.565613       1.33562530E-03   2.00460874E-03
   629.259399       1.78661686E-03   1.46742596E-03
   628.953491       2.23715906E-03   1.72946625E-03
   628.647888       2.82566925E-03   1.12677354E-03
   628.342529       2.22483603E-03   1.28399767E-03
   628.037537       2.47217412E-03   1.12677354E-03
   627.732788       2.43038358E-03   8.90937168E-04
   627.428345       2.03314307E-03   8.90937168E-04
   627.124268       2.01317715E-03   7.59917020E-04
   626.820374       2.17320654E-03   7.59917020E-04
   626.516846       1.86564424E-03   5.76488732E-04
   626.213623       2.52830796E-03   5.37182728E-04
   625.910645       1.84373104E-03   5.37182728E-04
   625.607971       1.49904040E-03   3.01346387E-04
   625.305603       1.03534758E-03   2.75142374E-04
   625.003540       1.00435875E-03   3.40652448E-04
   624.701721       1.45965419E-03   5.24080679E-05
   624.400269       9.87427658E-04   7.86121018E-05
   624.098999       9.63939121E-04   0.00000000    
   623.798096       7.13069458E-04   0.00000000    
   623.497498       1.17976696E-03   0.00000000    
   623.197144       1.15924422E-03   0.00000000    
   622.897095       1.16823521E-03   0.00000000    
   622.597351       1.19258766E-03   0.00000000    
   622.297852       8.27834185E-04   0.00000000    
   621.998657       7.95869506E-04   0.00000000    
   621.699829       9.56713338E-04   0.00000000    
   621.401184       6.01999811E-04   0.00000000    
   621.102844       6.44825166E-04   0.00000000    
