 wavelength   modelled flux   observed flux
   635.752991       2.58577452E-03   1.80956267E-03
   635.440735       3.28254164E-03   1.99280959E-03
   635.128784       3.72560346E-03   2.06152699E-03
   634.817139       3.86186899E-03   1.83246855E-03
   634.505798       3.44772171E-03   1.48888072E-03
   634.194763       3.07477941E-03   1.46597484E-03
   633.884033       3.15125729E-03   1.42016308E-03
   633.573608       2.76898756E-03   9.84951854E-04
   633.263489       2.20508152E-03   1.05366937E-03
   632.953674       2.79937056E-03   6.64269843E-04
   632.644165       2.89855059E-03   6.87175721E-04
   632.334961       2.53233011E-03   6.64269843E-04
   632.026062       2.10083299E-03   5.03928866E-04
   631.717468       1.68353855E-03   5.95552265E-04
   631.409119       1.26657425E-03   2.06152705E-04
   631.101135       8.50105251E-04   1.83246855E-04
   630.793457       4.34048881E-04   2.06152705E-04
   630.486023       1.83226584E-05   0.00000000    
   630.178894       4.32383706E-04   0.00000000    
   629.872131       8.84184323E-04   0.00000000    
   629.565613       1.33562530E-03   0.00000000    
   629.259399       1.78661686E-03   0.00000000    
   628.953491       2.23715906E-03   0.00000000    
   628.647888       2.82566925E-03   0.00000000    
   628.342529       2.22483603E-03   0.00000000    
   628.037537       2.47217412E-03   0.00000000    
   627.732788       2.43038358E-03   0.00000000    
   627.428345       2.03314307E-03   0.00000000    
   627.124268       2.01317715E-03   0.00000000    
   626.820374       2.17320654E-03   0.00000000    
   626.516846       1.86564424E-03   0.00000000    
   626.213623       2.52830796E-03   0.00000000    
   625.910645       1.84373104E-03   0.00000000    
   625.607971       1.49904040E-03   0.00000000    
   625.305603       1.03534758E-03   0.00000000    
   625.003540       1.00435875E-03   0.00000000    
   624.701721       1.45965419E-03   0.00000000    
   624.400269       9.87427658E-04   0.00000000    
   624.098999       9.63939121E-04   0.00000000    
   623.798096       7.13069458E-04   0.00000000    
   623.497498       1.17976696E-03   0.00000000    
   623.197144       1.15924422E-03   0.00000000    
   622.897095       1.16823521E-03   0.00000000    
   622.597351       1.19258766E-03   0.00000000    
   622.297852       8.27834185E-04   0.00000000    
   621.998657       7.95869506E-04   0.00000000    
   621.699829       9.56713338E-04   0.00000000    
   621.401184       6.01999811E-04   0.00000000    
   621.102844       6.44825166E-04   0.00000000    
   620.804810       2.84826558E-04   0.00000000    
   620.507080       8.33179452E-04   0.00000000    
   620.209595       7.35264795E-04   0.00000000    
   619.912476       2.51309248E-04   0.00000000    
   619.615540       5.50517056E-04   0.00000000    
   619.318909       3.82499362E-04   0.00000000    
   619.022644       2.14689193E-04   0.00000000    
   618.726562       4.69827064E-05   0.00000000    
   618.430786       1.44972946E-04   0.00000000    
   618.135315       3.46238725E-04   0.00000000    
   617.840149       5.47296659E-04   0.00000000    
   617.545227       6.98411604E-04   0.00000000    
   617.250610       9.44971805E-04   0.00000000    
   616.956238       8.98374303E-04   0.00000000    
   616.662170       8.46208481E-04   0.00000000    
   616.368408       1.00345339E-03   0.00000000    
   616.074890       1.03253196E-03   0.00000000    
   615.781616       1.08102860E-03   0.00000000    
   615.488708       5.10656508E-04   0.00000000    
   615.195984       1.10520469E-03   0.00000000    
   614.903625       9.25384578E-04   0.00000000    
   614.611511       1.19929016E-03   0.00000000    
   614.319702       1.05934369E-03   0.00000000    
   614.028137       4.81255032E-04   0.00000000    
   613.736816       1.24927703E-03   0.00000000    
   613.445862       9.78525146E-04   0.00000000    
   613.155090       6.45835011E-04   0.00000000    
   612.864624       7.59680872E-04   0.00000000    
   612.574463       1.05293584E-03   0.00000000    
